Target,lambda_nm,I_e14_Wcm2,Keldysh,state,population
Magnesium,400.0,1.824350159862352,1.1853269591129698,3p0,0.11029638823341387
Magnesium,400.0,1.824350159862352,1.1853269591129698,3p-1,0.16443989167890075
Magnesium,400.0,1.824350159862352,1.1853269591129698,3p1,0.16443989167890075
Magnesium,400.0,1.824350159862352,1.1853269591129698,3d0,0.2147169202224407
Magnesium,400.0,1.824350159862352,1.1853269591129698,3d-1,0.22707630945433613
Magnesium,400.0,1.824350159862352,1.1853269591129698,3d1,0.22707630945433613
Magnesium,400.0,1.824350159862352,1.1853269591129698,4s0,0.49267567678595603
Magnesium,400.0,1.824350159862352,1.1853269591129698,4p0,0.10204907074063715
Magnesium,400.0,1.824350159862352,1.1853269591129698,4p-1,0.06059545361904557
Magnesium,400.0,1.824350159862352,1.1853269591129698,4p1,0.06059545361904557
Magnesium,400.0,1.824350159862352,1.1853269591129698,4d0,0.047899833274496595
Magnesium,400.0,1.824350159862352,1.1853269591129698,4d-1,0.03012961107365704
Magnesium,400.0,1.824350159862352,1.1853269591129698,4d1,0.03012961107365704
Magnesium,400.0,1.824350159862352,1.1853269591129698,4f0,0.8187317877250698
Magnesium,400.0,1.824350159862352,1.1853269591129698,4f-1,1.0
Magnesium,400.0,1.824350159862352,1.1853269591129698,4f1,1.0
Magnesium,400.0,1.824350159862352,1.1853269591129698,5s0,0.09891252182138038
Magnesium,400.0,1.824350159862352,1.1853269591129698,5p0,0.03161515380771964
Magnesium,400.0,1.824350159862352,1.1853269591129698,5p-1,0.017205490401745918
Magnesium,400.0,1.824350159862352,1.1853269591129698,5p1,0.017205490401745918
Magnesium,400.0,1.824350159862352,1.1853269591129698,5d0,0.02860309178146388
Beryllium,800.0,0.9577838339277349,0.9031690238899281,2p0,4.517597505816748e-05
Beryllium,800.0,0.9577838339277349,0.9031690238899281,2p-1,8.404679981986781e-05
Beryllium,800.0,0.9577838339277349,0.9031690238899281,2p1,8.404679981986781e-05
Beryllium,800.0,0.9577838339277349,0.9031690238899281,3s0,0.40228475121587176
Beryllium,800.0,0.9577838339277349,0.9031690238899281,3p0,0.13689193623802764
Beryllium,800.0,0.9577838339277349,0.9031690238899281,3p-1,0.07505665639284695
Beryllium,800.0,0.9577838339277349,0.9031690238899281,3p1,0.07505665639284695
Beryllium,800.0,0.9577838339277349,0.9031690238899281,3d0,0.1243269743661391
Beryllium,800.0,0.9577838339277349,0.9031690238899281,3d-1,0.12810589683909965
Beryllium,800.0,0.9577838339277349,0.9031690238899281,3d1,0.12810589683909965
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4s0,0.2175016587676712
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4p0,0.25019056647066557
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4p-1,0.12883587354103576
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4p1,0.12883587354103576
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4d0,0.9999999999999999
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4d-1,0.4288499918350309
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4d1,0.4288499918350309
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4f0,0.736205568432239
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4f-1,0.7369444985959376
Beryllium,800.0,0.9577838339277349,0.9031690238899281,4f1,0.7369444985959376
Neon0,800.0,2.052393929845146,0.938083151964686,2p1,9.938427266579486e-40
Neon0,800.0,2.052393929845146,0.938083151964686,3s0,0.009592807581557778
Neon0,800.0,2.052393929845146,0.938083151964686,3p0,0.47691851125292956
Neon0,800.0,2.052393929845146,0.938083151964686,3p-1,0.0015899562930312798
Neon0,800.0,2.052393929845146,0.938083151964686,3p1,0.0015899562930312798
Neon0,800.0,2.052393929845146,0.938083151964686,3d0,1.0
Neon0,800.0,2.052393929845146,0.938083151964686,3d-1,0.00905029612106319
Neon0,800.0,2.052393929845146,0.938083151964686,3d1,0.00905029612106319
Neon0,800.0,2.052393929845146,0.938083151964686,4s0,0.1380249599824022
